ID,Stations-Name,WMO-Kennung,BG,BM,BS,LG,LM,LS,GEOGR_BREITE,GEOGR_LAENGE,STATIONSHOEHE,Betreiber,Melde-Grp,Country
2812,Lahr,10805,48,21,53,7,49,41,48.364697,7.828016,155,DWD,AUT,Germany
1468,Freudenstadt,10815,48,27,13,8,24,33,48.453728,8.409057,796.5,DWD,AUT,Germany
2638,Klippeneck,10818,48,6,19,8,45,18,48.105371,8.754878,973.4,DWD,AUT,Germany
3268,Me�stetten,10827,48,11,15,8,59,38,48.187513,8.993829,920,DWD,AUT,Germany
4887,Stoetten,10836,48,39,57,9,51,53,48.665709,9.864648,733.8,DWD,I E,Germany
2886,Laupheim,10837,48,13,3,9,54,35,48.217625,9.909652,539,GeoInfoDBw,I G,Germany
15444,Ulm-Maehringen,10840,48,26,30,9,55,18,48.441772,9.92161,592.6,DWD,AUT,Germany
2023,Harburg,10850,48,47,30,10,42,22,48.791799,10.706226,501.9,DWD,AUT,Germany
232,Augsburg,10852,48,25,31,10,56,31,48.425393,10.942011,461.4,DWD,AUT,Germany
3484,Neuburg/Donau (Flugplatz),10853,48,42,35,11,12,35,48.709746,11.209617,380,GeoInfoDBw,I G,Germany
2905,Lechfeld,10856,48,11,6,10,51,3,48.184905,10.850732,550,GeoInfoDBw,II G,Germany
2829,Landsberg (Flugplatz),10857,48,4,38,10,54,52,48.077199,10.914394,621,GeoInfoDBw,I G,Germany
2410,Ingolstadt (Flugplatz),10860,48,42,40,11,32,10,48.711152,11.536237,364,GeoInfoDBw,II G,Germany
5404,Weihenstephan-Duernast,10863,48,24,9,11,41,40,48.402499,11.694555,477.1,DWD,AUT,Germany
3379,Muenchen-Stadt,10865,48,9,47,11,32,35,48.163142,11.542922,515.2,DWD,AUT,Germany
3715,Oberschlei�heim (Lustheim),10868,48,14,41,11,33,9,48.244636,11.552548,484,DWD,oZ,Germany
1261,Erding,10869,48,19,9,11,56,38,48.319171,11.944008,459.9,GeoInfoDBw,oZ,Germany
1262,Muenchen-Flughafen,10870,48,20,52,11,48,48,48.347656,11.813275,445.5,DWD,I,Germany
7395,Gottfrieding,10872,48,39,35,12,32,20,48.659626,12.538767,350.4,DWD,AUT,Germany
15191,Isen (ISN),10873,48,10,29,12,6,6,48.1747,12.10177,630.27,DWD,oZ,Germany
3366,Muehldorf,10875,48,16,45,12,30,9,48.279069,12.502379,405.6,DWD,AUT,Germany
5856,Fuerstenzell,10895,48,32,43,13,21,11,48.545146,13.353054,476.4,DWD,AUT,Germany
1346,Feldberg/Schwarzwald,10908,47,52,30,8,0,14,47.874893,8.003817,1489.6,DWD,AUT,Germany
2712,Konstanz,10929,47,40,39,9,11,24,47.677419,9.190052,442.5,DWD,I E,Germany
7403,Leutkirch-Herlazhofen,10945,47,47,44,10,1,57,47.795509,10.032433,671.7,DWD,AUT,Germany
2559,Kempten,10946,47,43,24,10,20,5,47.723259,10.334797,705.2,DWD,AUT,Germany
3730,Oberstdorf,10948,47,23,55,10,16,34,47.398578,10.275988,806,DWD,AUT,Germany
125,Altenstadt,10954,47,50,3,10,52,0,47.834167,10.866723,756,GeoInfoDBw,II G,Germany
5792,Zugspitze,10961,47,25,15,10,59,5,47.420868,10.984724,2964,DWD,I Berg,Germany
2290,Hohenpei�enberg,10962,47,48,3,11,0,39,47.800864,11.010754,977,DWD,I,Germany
1550,Garmisch-Partenkirchen,10963,47,28,59,11,3,44,47.48305,11.062293,719,DWD,AUT,Germany
856,Chieming,10982,47,53,4,12,32,25,47.884339,12.540379,551.2,DWD,AUT,Germany
